27pF	2	"C1 C2"
100nF	12	"C3 C12 C13 C14 C15 C16 C17 C18 C19 C20 C21 C22"
4,7uF	4	"C6 C7 C10 C11"
47uF	4	"C4 C5 C8 C9"
DIODE	1	"D1"
Tr 30V	1	"D2"
LED	1	"D3"
Tr 15V	2	"D4 D5"
Tr 5.8V	6	"D6 D7 D8 D9 D10 D11"
ATMEGA8-P	1	"IC1"
ADM485	1	"IC2"
CONN_2	4	"P3 P4 P5 P6"
CONN_7	1	"P7"
3 PIN	2	"P1 P2"
BC337	4	"Q2 Q4 Q6 Q8"
BC307	4	"Q1 Q3 Q5 Q7"
10R	2	"R10 R11"
3,9k	2	"R2 R3"
4.7k	1	"R1"
10k	26	"R4 R5 R6 R7 R8 R9 R12 R13 R14 R15 R16 R17 R18 R19 R20 R21 R22 R23 R24 R25 R26 R27 R28 R29 R30 R31"
7805	3	"U1 U2 U3"
3.6864 MHz	1	"X1"
