ref;value
C1;30pF
C2;30pF
C3;100nF
C4;47uF
C5;4,7uF
C6;47uF
C7;100nF
C8;100nF
C9;100nF
C12;100nF
C16;4,7uF
D1;DIODE
D2;Tr 30V
D3;LED
D4;Tr 5.8V
D5;Tr 5.8V
D6;DIODE
D7;DIODE
D8;DIODE
D10;DIODE
D11;DIODE
D12;DIODE
D13;DIODE
IC1;ATMEGA8-P
IC2;ADM485
K1;RELAY
K2;RELAY
K3;RELAY
K4;RELAY
K5;RELAY
K6;RELAY
K7;RELAY
P1;3 PIN
P2;3 PIN
P3;3 PIN
P4;3 PIN
P5;3 PIN
P6;3 PIN
P7;3 PIN
P8;3 PIN
P9;3 PIN
Q1;BC337
Q2;BC337
Q3;BC337
Q4;BC337
Q5;BC337
Q6;BC337
Q7;BC337
R1;4.7k
R2;3k
R3;450
R4;450
R5;450
R7;450
R8;450
R9;450
R10;450
R15;10R
R16;10R
U1;7805
X1;3.6864 MHz
